"STATISTIC","Statistic Label","TLIST(A1)","Year","C02402V02895","Type of Building and Construction","UNIT","VALUE"
"BEA04C01","Value of Production Index in Building and Construction","2020","2020","12","Civil engineering","Base 2015=100","105.05184126"
"BEA04C01","Value of Production Index in Building and Construction","2021","2021","-","All building and construction","Base 2015=100","147.74236621"
"BEA04C01","Value of Production Index in Building and Construction","2021","2021","11","Building (excluding civil engineering)","Base 2015=100","152.45482437"
"BEA04C01","Value of Production Index in Building and Construction","2021","2021","111","Residential building","Base 2015=100","129.37821013"
"BEA04C01","Value of Production Index in Building and Construction","2021","2021","112","Non-residential building","Base 2015=100","156.03007446"
"BEA04C01","Value of Production Index in Building and Construction","2021","2021","12","Civil engineering","Base 2015=100","126.27450127"
"BEA04C01","Value of Production Index in Building and Construction","2022","2022","-","All building and construction","Base 2015=100","166.22978276"
"BEA04C01","Value of Production Index in Building and Construction","2022","2022","11","Building (excluding civil engineering)","Base 2015=100","172.9242827"
"BEA04C01","Value of Production Index in Building and Construction","2022","2022","111","Residential building","Base 2015=100","146.92724076"
"BEA04C01","Value of Production Index in Building and Construction","2022","2022","112","Non-residential building","Base 2015=100","176.95199343"
"BEA04C01","Value of Production Index in Building and Construction","2022","2022","12","Civil engineering","Base 2015=100","135.73261633"
"BEA04C02","Volume of Production Index in Building and Construction","2000","2000","-","All building and construction","Base 2015=100","218.51137053"
"BEA04C02","Volume of Production Index in Building and Construction","2000","2000","11","Building (excluding civil engineering)","Base 2015=100","281.1015359"
"BEA04C02","Volume of Production Index in Building and Construction","2000","2000","111","Residential building","Base 2015=100","471.86776308"
"BEA04C02","Volume of Production Index in Building and Construction","2000","2000","112","Non-residential building","Base 2015=100","148.33114142"
"BEA04C02","Volume of Production Index in Building and Construction","2000","2000","12","Civil engineering","Base 2015=100","86.995463649"
"BEA04C02","Volume of Production Index in Building and Construction","2001","2001","-","All building and construction","Base 2015=100","225.91125994"
"BEA04C02","Volume of Production Index in Building and Construction","2001","2001","11","Building (excluding civil engineering)","Base 2015=100","285.80464687"
"BEA04C02","Volume of Production Index in Building and Construction","2001","2001","111","Residential building","Base 2015=100","490.85454694"
"BEA04C02","Volume of Production Index in Building and Construction","2001","2001","112","Non-residential building","Base 2015=100","142.10902087"
"BEA04C02","Volume of Production Index in Building and Construction","2001","2001","12","Civil engineering","Base 2015=100","97.619197428"
"BEA04C02","Volume of Production Index in Building and Construction","2002","2002","-","All building and construction","Base 2015=100","230.59740134"
"BEA04C02","Volume of Production Index in Building and Construction","2002","2002","11","Building (excluding civil engineering)","Base 2015=100","283.54585492"
